#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-16T00:32:59 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-16T00:32:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/580/A67/meteors&-source=J/A+A/580/A67/meteors&-out=SpFile&-out=Meteor&-out=Time&-out=RAg&-out=DEg&-out=Zenith&-out=Hb&-out=He&-out=Mmax&-out=Mass&-out=Class&-out=1/a&-out=e&-out=i&-out=q&-out=omega&-out=Omega&-out=Tj&-out=vg&-out=e_vg&-out=Mg1-2&-out=Na1-1&-out=Fe1-15&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35800067
#Name: J/A+A/580/A67
#Title: Catalogue of representative meteor spectra (Vojacek+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/580/a67	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/580/a67	    IVOID of underlying data collection
#INFO	creator=Vojacek V.	    First author or institution
#INFO	cites=bibcode:2015A&A...580A..67V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/580/A67	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35800067	    Dataset identifier that can be used for citation
#INFO	publication_date=2015-12-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_580_A67_meteors:
#Name: J/A+A/580/A67/meteors
#Title: Observed meteors: atmopspheric trajectories (table4), orbital parameters (table5), and intensities of lines of Mg1-2, Na1-1 and Fe1-15
#Column	SpFile	(A7)	Name of spectrum file (G1)	[ucd=meta.id;meta.file]
#Column	Meteor	(A8)	Number of meteor (1)	[ucd=meta.id;meta.main]
#Column	Time	(A8)	Observing time in UT	[ucd=time.epoch]
#Column	RAg	(F6.2)	Radiant geocentric right ascension	[ucd=pos.eq.ra;pos.geocentric]
#Column	DEg	(F6.2)	Radiant geocentric declination	[ucd=pos.eq.dec;pos.geocentric]
#Column	Zenith	(F5.2)	[11/82] Radiant zenithal distance	[ucd=pos.az.zd]
#Column	Hb	(F5.1)	[78/137] Meteor beginning height	[ucd=pos.cartesian.z]
#Column	He	(F4.1)	[55/100] Meteor terminal height	[ucd=pos.cartesian.z]
#Column	Mmax	(F4.1)	[-3.1/2.1] Maximum magnitude of meteor	[ucd=phot.mag;em.opt]
#Column	Mass	(E8.1)	Photo Mass	[ucd=phys.mass]
#Column	Class	(a19)	Classified spectral type of given meteor (among Normal, Iron, Fe-poor, Na-free, Na-poor, Na-rich, Na-enhanced)	[ucd=src.spType]
#Column	1/a	(F6.3)	[-0.02/0.8] Reciprocal semi-major axis	[ucd=phys.size.smajAxis]
#Column	e	(F6.3)	[0.38/1.01] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	i	(F6.2)	[0/180] Inclination	[ucd=src.orbital.inclination]
#Column	q	(F6.3)	[0.04/1.02] Perihelion distance	[ucd=pos.distance;src.orbital.periastron]
#Column	omega	(F6.2)	[0/360] Argument of periapsis {omega}	[ucd=src.orbital.periastron]
#Column	Omega	(F6.2)	[0/360] Longitude of the ascending node {Omega}	[ucd=src.orbital.node]
#Column	Tj	(F5.2)	[-1/4.51] Tisserand parameter	[ucd=src.orbital]
#Column	vg	(F5.2)	[6/72] Geocentric velocity	[ucd=phys.veloc;pos.geocentric]
#Column	e_vg	(F5.2)	[0.03/1] Geocentric velocity error	[ucd=stat.error]
#Column	Mg1-2	(E9.2)	Summed intensity of line Mg1-2	[ucd=spect.line.intensity]
#Column	Na1-1	(E9.2)	Summed intensity of line Na1-1	[ucd=spect.line.intensity]
#Column	Fe1-15	(E9.2)	Summed intensity of line Fe1-15	[ucd=spect.line.intensity]
SpFile|Meteor|Time|RAg|DEg|Zenith|Hb|He|Mmax|Mass|Class|1/a|e|i|q|omega|Omega|Tj|vg|e_vg|Mg1-2|Na1-1|Fe1-15
 | |"h:m:s"|deg|deg|deg|km|km|mag|g| |1/AU| |deg|AU|deg|deg| |km/s|km/s|J/sr|J/sr|J/sr
-------|--------|--------|------|------|-----|-----|----|----|--------|-------------------|------|------|------|------|------|------|-----|-----|-----|---------|---------|---------
SX001  |06406048|23:43:07|223.80| -6.80|57.70| 98.0|84.7| 0.6| 2.5e-02|Iron               | 0.395| 0.957| 28.90| 0.110|325.10| 16.95| 2.40|40.30| 0.20| 5.06e-01| 1.56e-01| 2.61e+00
SX002  |06406069|00:36:32|281.28| 48.81|38.85|115.7|90.6| 0.5| 2.2e-02|Normal             | 0.013| 0.990| 66.30| 0.999|174.50| 16.98| 0.60|40.50| 0.10| 1.72e+00| 1.09e+00| 9.57e-01
SX008  |06420006|20:35:16|242.09| 20.52|60.80|103.8|84.0| 0.0| 6.6e-02|Na-poor            | 0.047| 0.974| 56.70| 0.563|263.70| 30.54| 0.70|40.20| 0.10| 2.34e+00| 3.86e-01| 7.89e-01
SX015  |06420089|00:40:41|210.08|-17.91|67.13| 99.0|80.6| 0.0| 2.6e-01|Normal             | 0.377| 0.812|  4.88| 0.498| 97.21|210.70| 2.79|25.90| 0.10| 2.90e+00| 1.67e+00| 1.56e+00
SX045  |06724023|21:45:35|323.43|  3.40|55.80|103.0|84.2|-0.2| 7.2e-02|Na-poor            | 0.512| 0.898| 35.00| 0.200|314.20|121.76| 3.10|35.70| 0.10| 1.80e+00| 6.43e-01| 7.09e-01
SX089  |06727196|01:16:54|276.40| 35.13|44.19| 98.4|79.2|-0.9| 5.4e-01|Normal             | 0.283| 0.733| 26.30| 0.943|213.73|124.77| 2.48|19.50| 0.09| 3.75e+00| 7.80e+00| 2.19e+00
SX090  |06727206|01:25:18|359.66| 15.64|36.66|121.7|89.4|-0.8| 2.2e-02|Normal             | 0.023| 0.989|147.10| 0.495|271.80|124.78|-0.60|63.30| 0.20| 2.62e+00| 2.59e+00| 1.64e+00
SX092  |06727222|01:47:07|109.84| 52.66|65.02|102.8|80.8|-2.1| 8.5e-01|Na-poor            | 0.383| 0.844| 42.80| 0.408| 72.13|124.79| 2.55|34.40| 0.06| 1.35e+01| 3.78e+00| 4.12e+00
SX116  |06730083|23:12:00|305.26| -9.11|55.47| 95.0|80.1|-2.4| 2.3e+00|Normal             | 0.436| 0.730|  7.00| 0.619|265.72|127.56| 3.17|21.10| 0.10| 2.32e+01| 3.55e+01| 9.45e+00
SX143  |06A20013|20:28:34|353.78| 17.22|28.84|106.6|72.0|-1.4| 1.2e+00|Na-enhanced        | 0.396| 0.657|  6.84| 0.865|227.95|207.21| 3.10|13.60| 0.10| 6.02e+00| 1.97e+01| 5.45e+00
SX150  |06A20125|22:43:42|355.20|  8.30|41.80| 95.2|72.6| 0.7| 1.5e-01|Na-rich            | 0.358| 0.690|  3.50| 0.872|225.90|207.30| 2.92|13.43| 0.06| 4.40e-01| 3.36e+00| 3.79e-01
SX151  |06A20126|22:44:55| 53.70| 23.60|34.20| 97.1|82.1| 0.9| 9.0e-03|Na-free            | 0.316| 0.985| 19.90| 0.048|336.60|207.31| 1.90|42.90| 0.40| 2.97e+00| 1.99e-01| 1.94e+00
SX158  |06A20149|23:01:35| 94.67| 15.32|62.57|118.4|94.7| 2.0| 2.3e-03|Normal             | 0.161| 0.908|163.00| 0.576| 83.50| 27.32| 0.00|65.60| 0.20| 1.06e+00| 4.85e-01| 7.40e-01
SX211  |06A20437|02:10:43| 95.70| 15.00|38.10|135.2|90.5|-2.4| 4.1e-02|Fe-poor            | 0.083| 0.950|162.80| 0.619| 77.00| 27.45|-0.50|66.80| 0.30| 3.57e+01| 2.05e+01| 1.05e+01
SX225  |06A20527|03:01:45| 95.00| 15.50|34.40|120.2|87.9| 1.3| 3.6e-03|Normal             | 0.015| 0.990|163.90| 0.610| 77.20| 27.49|-1.00|67.30| 0.20| 4.72e+00| 2.26e+00| 1.71e+00
SX237  |06A20632|03:57:45| 96.00| 14.50|35.20|125.6|94.2| 1.0| 7.0e-03|Normal             | 0.211| 0.870|161.70| 0.598| 82.00| 27.53| 0.20|65.30| 0.30| 4.26e+00| 2.88e+00| 1.87e+00
SX263  |06B18075|02:18:34| 62.00| 24.15|40.84|104.8|72.0|-1.3| 6.8e-01|Normal             | 0.461| 0.802|  3.09| 0.430|285.67|236.50| 3.17|26.10| 0.10| 2.32e+01| 3.38e+01| 9.32e+00
SX333  |06C13104|23:20:41|113.80| 32.00|26.50|102.5|76.0|-1.2| 2.1e-01|Na-poor            | 0.773| 0.894| 23.10| 0.137|325.40|261.72| 4.43|34.10| 0.20| 1.50e+01| 2.55e+00| 7.03e+00
SX336  |06C13136|23:34:20|113.78| 32.67|23.98|104.8|67.0|-1.5| 5.2e-01|Normal             | 0.751| 0.895| 24.80| 0.139|324.62|261.73| 4.51|34.50| 0.10| 2.91e+01| 1.58e+01| 1.09e+01
SX337  |06C13137|23:34:36|113.20| 32.65|23.69|102.0|80.3| 0.3| 5.6e-02|Na-free            | 0.691| 0.906| 25.40| 0.136|324.40|261.73| 4.00|35.40| 0.20| 5.20e+00| 5.76e-01| 2.42e+00
