Wavelength_nm,Responsivity
300.0,1.47155257
301.0,1.47155257
302.0,1.47155257
303.0,1.47155257
304.0,1.47155257
305.0,1.47155257
306.0,1.47155257
307.0,1.47155257
308.0,1.47155257
309.0,1.47155257
310.0,1.47155257
311.0,1.47155257
312.0,1.47155257
313.0,1.47155257
314.0,1.47155257
315.0,1.47155257
316.0,1.47155257
317.0,1.47155257
318.0,1.47155257
319.0,1.47155257
320.0,1.47155257
321.0,1.47155257
322.0,1.47155257
323.0,1.47155257
324.0,1.47155257
325.0,1.47155257
326.0,1.47155257
327.0,1.47155257
328.0,1.47155257
329.0,1.47155257
330.0,1.47155257
331.0,1.47155257
332.0,1.47155257
333.0,1.47155257
334.0,1.47155257
335.0,1.47155257
336.0,1.47155257
337.0,1.47155257
338.0,1.47155257
339.0,1.47155257
340.0,1.47155257
341.0,1.47155257
342.0,1.47155257
343.0,1.47155257
344.0,1.47155257
345.0,1.47155257
346.0,1.47155257
347.0,1.47155257
348.0,1.47155257
349.0,1.47155257
350.0,1.47155257
351.0,1.47155257
352.0,1.47155257
353.0,1.47155257
354.0,1.47155257
355.0,1.47155257
356.0,1.47155257
357.0,1.47155257
358.0,1.47155257
359.0,1.47155257
360.0,1.47155257
361.0,1.47155257
362.0,1.47155257
363.0,1.47155257
364.0,1.47155257
365.0,1.47155257
366.0,1.47155257
367.0,1.47155257
368.0,1.47155257
369.0,1.47155257
370.0,1.47155257
371.0,1.47155257
372.0,1.47155257
373.0,1.47155257
374.0,1.47155257
375.0,1.47155257
376.0,1.49896433
377.0,1.52827812
378.0,1.55223157
379.0,1.57138966
380.0,1.58687632
381.0,1.59967339
382.0,1.61073787
383.0,1.62091149
384.0,1.63085445
385.0,1.64102387
386.0,1.65167396
387.0,1.66286498
388.0,1.67450299
389.0,1.68638077
390.0,1.69821016
391.0,1.70966066
392.0,1.72034472
393.0,1.72985591
394.0,1.73804681
395.0,1.74479554
396.0,1.75010956
397.0,1.75414039
398.0,1.75718574
399.0,1.75966936
400.0,1.76209773
401.0,1.76500418
402.0,1.76888512
403.0,1.77413521
404.0,1.78099740
405.0,1.78953692
406.0,1.79971299
407.0,1.81114414
408.0,1.82330979
409.0,1.83578267
410.0,1.84819644
411.0,1.86029761
412.0,1.87197485
413.0,1.88326427
414.0,1.89432772
415.0,1.90541312
416.0,1.91680857
417.0,1.92880041
418.0,1.94164206
419.0,1.95553465
420.0,1.97071968
421.0,1.98722693
422.0,2.00503976
423.0,2.02417249
424.0,2.04462865
425.0,2.06639953
426.0,2.08945379
427.0,2.11372110
428.0,2.13907153
429.0,2.16529856
430.0,2.19211271
431.0,2.21915199
432.0,2.24601384
433.0,2.27229886
434.0,2.29750612
435.0,2.32155325
436.0,2.34446379
437.0,2.36635904
438.0,2.38744042
439.0,2.40792833
440.0,2.42800222
441.0,2.44775782
442.0,2.46718642
443.0,2.48618052
444.0,2.50456377
445.0,2.52213537
446.0,2.53871801
447.0,2.55420265
448.0,2.56844604
449.0,2.58175828
450.0,2.59437764
451.0,2.60660707
452.0,2.61878352
453.0,2.63125339
454.0,2.64435203
455.0,2.65839299
456.0,2.67365705
457.0,2.69038023
458.0,2.70874537
459.0,2.72887372
460.0,2.75080935
461.0,2.77454092
462.0,2.79999796
463.0,2.82674929
464.0,2.85447677
465.0,2.88283684
466.0,2.91148532
467.0,2.94010620
468.0,2.96843559
469.0,2.99627578
470.0,3.02349922
471.0,3.05005220
472.0,3.07595921
473.0,3.10132072
474.0,3.12631626
475.0,3.15119213
476.0,3.17630447
477.0,3.20198198
478.0,3.22847021
479.0,3.25590405
480.0,3.28426336
481.0,3.31334633
482.0,3.34277086
483.0,3.37201304
484.0,3.40047558
485.0,3.42758075
486.0,3.45287307
487.0,3.47610707
488.0,3.49730209
489.0,3.51667010
490.0,3.53491520
491.0,3.55287854
492.0,3.57129667
493.0,3.59084423
494.0,3.61207545
495.0,3.63539160
496.0,3.66102482
497.0,3.68903663
498.0,3.71932778
499.0,3.75165483
500.0,3.78565190
501.0,3.82086002
502.0,3.85675645
503.0,3.89270256
504.0,3.92807514
505.0,3.96238413
506.0,3.99518464
507.0,4.02612330
508.0,4.05495570
509.0,4.08156398
510.0,4.10597501
511.0,4.12837105
512.0,4.14908323
513.0,4.16857427
514.0,4.18740955
515.0,4.20620948
516.0,4.22560704
517.0,4.24639035
518.0,4.26899979
519.0,4.29374847
520.0,4.32083008
521.0,4.35030248
522.0,4.38210056
523.0,4.41605907
524.0,4.45193955
525.0,4.48945992
526.0,4.52832500
527.0,4.56824922
